confusion_matrix,tp,tn,fp,fn,precision,recall,f1,accuracy,threshold,roc_auc,File
"[[506 146]
 [174 456]]",456,506,146,174,0.7574750830564784,0.7238095238095238,0.7402597402597403,0.750390015600624,0.5061017,0.8201626253773494,EISD840101
"[[463 189]
 [127 503]]",503,463,189,127,0.726878612716763,0.7984126984126985,0.7609682299546142,0.7535101404056163,0.5146627426147461,0.8298495471808355,KIDA850101
"[[520 132]
 [179 451]]",451,520,132,179,0.7735849056603774,0.7158730158730159,0.7436108821104699,0.7574102964118564,0.5055361986160278,0.832218327003603,GOLD730101
"[[499 153]
 [188 442]]",442,499,153,188,0.7428571428571429,0.7015873015873015,0.7216326530612245,0.734009360374415,0.4862905442714691,0.8145315999610478,CASG920101
"[[478 174]
 [151 479]]",479,478,174,151,0.7335375191424196,0.7603174603174603,0.7466874512860483,0.7464898595943837,0.4726785123348236,0.8240261953452138,FASG890101
"[[446 206]
 [129 501]]",501,446,206,129,0.7086280056577087,0.7952380952380952,0.74943904263276,0.7386895475819033,0.5138787627220154,0.8134141591196806,KYTJ820101
"[[450 202]
 [120 510]]",510,450,202,120,0.7162921348314607,0.8095238095238095,0.7600596125186289,0.748829953198128,0.5392976403236389,0.8421048787613203,BLAS910101
"[[652   0]
 [630   0]]",0,652,0,630,0.0,0.0,0.0,0.5085803432137286,inf,0.5015337423312883,L_hydrophobicity_scale
"[[463 189]
 [130 500]]",500,463,189,130,0.7256894049346879,0.7936507936507936,0.7581501137225171,0.751170046801872,0.4980187714099884,0.8197877105852567,NADH010103
"[[463 189]
 [123 507]]",507,463,189,123,0.728448275862069,0.8047619047619048,0.7647058823529411,0.7566302652106084,0.4587548971176147,0.8266761612620508,NADH010104
"[[436 216]
 [109 521]]",521,436,216,109,0.7069199457259159,0.8269841269841269,0.7622531089978054,0.7464898595943837,0.5233033895492554,0.8276828318239361,NADH010105
"[[471 181]
 [127 503]]",503,471,181,127,0.7353801169590644,0.7984126984126985,0.7656012176560122,0.7597503900156006,0.5029326677322388,0.8294429837374622,NADH010102
"[[433 219]
 [100 530]]",530,433,219,100,0.7076101468624834,0.8412698412698413,0.7686729514140682,0.751170046801872,0.5060245990753174,0.8284131853150257,PRAM900101
"[[519 133]
 [185 445]]",445,519,133,185,0.7698961937716263,0.7063492063492064,0.7367549668874173,0.7519500780031201,0.4954556226730346,0.8327320089590029,JOND750101
"[[652   0]
 [630   0]]",0,652,0,630,0.0,0.0,0.0,0.5085803432137286,inf,0.5,ENGD860101
"[[424 228]
 [107 523]]",523,424,228,107,0.6964047936085219,0.8301587301587302,0.7574221578566256,0.7386895475819033,0.4984639883041382,0.8228211120849157,JURD980101
"[[488 164]
 [126 504]]",504,488,164,126,0.7544910179640718,0.8,0.7765793528505393,0.7737909516380655,0.5082018375396729,0.8507668711656443,KUHL950101
"[[472 180]
 [139 491]]",491,472,180,139,0.7317436661698957,0.7793650793650794,0.754803996925442,0.751170046801872,0.5157561302185059,0.8303413185315026,EISD840101
"[[504 148]
 [186 444]]",444,504,148,186,0.75,0.7047619047619048,0.7266775777414075,0.7394695787831513,0.5110848546028137,0.8235612036225533,KIDA850101
"[[486 166]
 [132 498]]",498,486,166,132,0.75,0.7904761904761904,0.7697063369397218,0.7675507020280812,0.4413576126098633,0.8371043918589932,GOLD730101
"[[462 190]
 [116 514]]",514,462,190,116,0.7301136363636364,0.8158730158730159,0.7706146926536732,0.7613104524180967,0.487364113330841,0.8293626448534424,CASG920101
"[[515 137]
 [180 450]]",450,515,137,180,0.7666098807495741,0.7142857142857143,0.7395234182415776,0.7527301092043682,0.4976438283920288,0.8312688674651866,FASG890101
"[[433 219]
 [110 520]]",520,433,219,110,0.7036535859269283,0.8253968253968254,0.7596785975164354,0.7433697347893916,0.4209470152854919,0.8255161164670366,KYTJ820101
"[[470 182]
 [122 508]]",508,470,182,122,0.736231884057971,0.8063492063492064,0.7696969696969697,0.7628705148205929,0.4897818565368652,0.8403934170805337,BLAS910101
"[[459 193]
 [101 529]]",529,459,193,101,0.7326869806094183,0.8396825396825397,0.7825443786982249,0.7706708268330733,0.4952015280723572,0.8503895218619145,L_hydrophobicity_scale
"[[505 147]
 [168 462]]",462,505,147,168,0.7586206896551724,0.7333333333333333,0.7457627118644068,0.7542901716068643,0.4966328740119934,0.8286468984321744,NADH010103
"[[462 190]
 [141 489]]",489,462,190,141,0.7201767304860088,0.7761904761904762,0.747135217723453,0.7418096723868954,0.502761960029602,0.8198412698412698,NADH010104
"[[548 104]
 [225 405]]",405,548,104,225,0.7956777996070727,0.6428571428571429,0.7111501316944688,0.7433697347893916,0.5122962594032288,0.8274491187067872,NADH010105
"[[481 171]
 [144 486]]",486,481,171,144,0.7397260273972602,0.7714285714285715,0.7552447552447552,0.7542901716068643,0.4979399442672729,0.8285738630830656,NADH010102
"[[465 187]
 [127 503]]",503,465,187,127,0.7289855072463768,0.7984126984126985,0.7621212121212121,0.7550702028081123,0.4975423812866211,0.8337885870094459,PRAM900101
"[[530 122]
 [191 439]]",439,530,122,191,0.7825311942959001,0.6968253968253968,0.7371956339210747,0.7558502340093604,0.513884425163269,0.8404579316389134,JOND750101
"[[511 141]
 [202 428]]",428,511,141,202,0.7521968365553603,0.6793650793650794,0.7139282735613011,0.7324492979719188,0.5131592154502869,0.8212971078001753,ENGD860101
"[[459 193]
 [119 511]]",511,459,193,119,0.7258522727272727,0.8111111111111111,0.7661169415292354,0.7566302652106084,0.499969482421875,0.82918005648067,JURD980101
"[[540 112]
 [179 451]]",451,540,112,179,0.8010657193605684,0.7158730158730159,0.7560771165129925,0.7730109204368175,0.5116647481918335,0.8532062518258837,KUHL950101
"[[455 197]
 [127 503]]",503,455,197,127,0.7185714285714285,0.7984126984126985,0.7563909774436091,0.7472698907956318,0.4917632043361664,0.8216245496153473,WOLR790101
"[[458 194]
 [106 524]]",524,458,194,106,0.7298050139275766,0.8317460317460318,0.7774480712166172,0.765990639625585,0.4982597827911377,0.8311885285811668,EISD860102
"[[449 203]
 [115 515]]",515,449,203,115,0.7172701949860725,0.8174603174603174,0.7640949554896143,0.7519500780031201,0.4743344485759735,0.8211912065439673,CIDH920105
"[[507 145]
 [158 472]]",472,507,145,158,0.7649918962722853,0.7492063492063492,0.7570168404170008,0.7636505460218409,0.4970609843730926,0.8340442107313272,ZIMJ680101
"[[491 161]
 [175 455]]",455,491,161,175,0.7386363636363636,0.7222222222222222,0.7303370786516854,0.7379095163806553,0.4936144948005676,0.8191571720712826,HOPT810101
"[[483 169]
 [129 501]]",501,483,169,129,0.7477611940298508,0.7952380952380952,0.7707692307692308,0.7675507020280812,0.5068122148513794,0.8367440841367222,ARGP820101
"[[520 132]
 [196 434]]",434,520,132,196,0.7667844522968198,0.6888888888888889,0.725752508361204,0.7441497659906396,0.6276564002037048,0.827405297497322,NADH010107
"[[486 166]
 [147 483]]",483,486,166,147,0.7442218798151001,0.7666666666666667,0.7552775605942142,0.7558502340093604,0.5123119950294495,0.8283912747102932,PONP930101
"[[482 170]
 [127 503]]",503,482,170,127,0.7473997028231798,0.7984126984126985,0.7720644666155027,0.7683307332293292,0.4974499940872192,0.8284813516408607,NADH010101
"[[493 159]
 [165 465]]",465,493,159,165,0.7451923076923077,0.7380952380952381,0.7416267942583732,0.7472698907956318,0.4971004128456116,0.8203598208199436,NADH010106
"[[511 141]
 [190 440]]",440,511,141,190,0.7573149741824441,0.6984126984126984,0.726672171758877,0.7418096723868954,0.5097352266311646,0.8261515240042846,LEVM760101
